JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457454.33333,2.2,,,Vis.,COV,,2.1,3.8,a,,,,Z,,,,ALGOL,AAVSO,STD,,,,
2457455.229,2.1,,,Vis.,MANH,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457455.229,2.1,,,Vis.,PYAB,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457455.229,2.1,,,Vis.,VANA,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457455.236,2.1,,,Vis.,ZBOA,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457455.316,2.11,,,TG,SMAI,,Pi Per,HD 1981,15107ELA,,0,1.429,Z,4.68,7.05,2457455.314,BET PER,AAVSO,STD,,,,
2457456.215,2.1,,,Vis.,VANA,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457456.215,2.1,,,Vis.,ZBOA,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457456.215,2.1,,,Vis.,GELB,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457456.215,2.1,,,Vis.,PYAB,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457456.47639,2.10,,,Vis.,TDG,,18,30,14839BCL,OTHER COMP 22 (GAMMA AND),,,Z,,,,BET PER,AAVSO,STD,,,,
2457457.215,2.1,,,Vis.,PYAB,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457457.215,2.1,,,Vis.,GELB,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457457.215,2.1,,,Vis.,MANH,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457457.222,2.1,,,Vis.,VANA,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457457.270,2.3,,,Vis.,MQA,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457457.315,2.29,,,TG,SMAI,,Pi Per,HD19981,15107ELA,,0,1.440,Z,4.68,7.05,2457457.313,BET PER,AAVSO,STD,,,,
2457461.316,2.1,,,Vis.,KBA,K,18,22,A,BRIGHT STAR CATALOG,,,Z,,,,BET PER,AAVSO,STD,,,,
2457461.48333,2.10,,,Vis.,TDG,,18,30,14839BCL,OTHER COMP 22 (GAMMA AND),,,Z,,,,BET PER,AAVSO,STD,,,,
2457463.36597,2.1,,,Vis.,COV,,2.0,3.0,a,,,,Z,,,,ALGOL,AAVSO,STD,,,,
2457464.29514,2.28,,,Vis.,KMIC,B,1.8,3.0,X15399AFB,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457464.296,2.48,,,TG,SMAI,,Pi Per,HD19981,15107ELA,,0,1.438,Z,4.68,7.05,2457464.293,BET PER,AAVSO,STD,,,,
2457465.293,2.42,,,TG,SMAI,,Pi Per,HD19981,15107ELA,,0,1.436,Z,4.68,7.05,2457465.290,BET PER,AAVSO,STD,,,,
2457465.305,2.30,,,TG,SMAI,,Pi Per,HD19981,15107ELA,,0,1.509,Z,4.68,7.05,2457465.302,BET PER,AAVSO,STD,,,,
2457465.370,2.04,,,TG,SMAI,,Pi Per,HD19981,15107ELA,,0,2.084,Z,4.68,7.05,2457465.367,BET PER,AAVSO,STD,,,,
2457467.263,2.1,,,Vis.,MQA,B,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457467.28,2.36,,,TG,SMAI,,Pi Per,HD19981,15107ELA,,0,1.414,Z,4.68,7.05,2457467.28,BET PER,AAVSO,STD,,,,
2457468.48889,2.10,,,Vis.,TDG,,18,30,14839BCL,OTHER COMP 22 (GAMMA AND),,,Z,,,,BET PER,AAVSO,STD,,,,
2457470.52083,2.6,,,Vis.,DABA,,30,21,10-star tutorial,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457473.33333,2.1,,,Vis.,SDAV,,2.2,,PER0708,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457473.60417,2.1,,,Vis.,BMAK,,18,30,AAVSO 10 Star,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457474.25694,2.4,,,Vis.,KMIC,,1.8,3.0,X15399AFB,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457474.352,2.02,,,TG,SMAI,,Pi Per,HD19981,15107ELA,,0,2.180,Z,4.68,7.05,2457474.349,BET PER,AAVSO,STD,,,,
2457474.49236,2.10,,,Vis.,TDG,,18,30,14839BCL,OTHER COMP 22 (GAMMA AND),,,Z,,,,BET PER,AAVSO,STD,,,,
2457475.2986,2.1,,,Vis.,KBA,K,18,22,A,BRIGHT STAR CATALOG,,,Z,,,,BET PER,AAVSO,STD,,,,
2457476.36458,2.1,,,Vis.,SDAV,,2.6,2.2,PER0708,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457477.236,2.1,,,Vis.,MANH,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457477.236,2.1,,,Vis.,PYAB,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457477.236,2.1,,,Vis.,ZBOA,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457477.236,2.1,,,Vis.,VANA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457477.37917,2.3,,,Vis.,COV,,2.0,3.0,a,,,,Z,,,,ALGOL,AAVSO,STD,,,,
2457478.286,2.26,,,TG,SMAI,,Pi Per,HD19981,15107ELA,,0,1.617,Z,4.68,7.05,2457478.282,bet Per,AAVSO,STD,,,,
2457480.300,2.38,,,TG,SMAI,,Pi Per,HD19981,15107ELA,,0,1.776,Z,4.68,7.05,2457480.296,BET PER,AAVSO,STD,,,,
2457481.32321,2.68,0.09,,TG,LMT,BU,000-BBF-901,000-BBF-810,X16410SI,,0,2.351,Z,-12.816,-12.360,,BET PER,,STD,,,,
2457482.229,2.3,,,Vis.,MANH,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457482.229,2.3,,,Vis.,GELB,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457482.229,2.3,,,Vis.,PYAB,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457482.263,2.2,,,Vis.,MQA,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457482.35139,2.0,,,Vis.,COV,,2.0,3.0,a,,,,Z,,,,ALGOL,AAVSO,STD,,,,
2457482.54792,2.10,,,Vis.,TDG,,18,30,14839BCL,OTHER COMP 22 (GAMMA AND),,,Z,,,,BET PER,AAVSO,STD,,,,
2457484.229,2.1,,,Vis.,VANA,U,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457484.229,2.1,,,Vis.,PYAB,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457484.229,2.1,,,Vis.,GELB,U,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457484.229,2.1,,,Vis.,MANH,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457484.38333,2.0,,,Vis.,COV,,1.8,3.0,a,,,,Z,,,,ALGOL,AAVSO,STD,,,,
2457484.55833,2.10,,,Vis.,TDG,,18,30,14839BCL,OTHER COMP 22 (GAMMA AND),,,Z,,,,BET PER,AAVSO,STD,,,,
2457485.222,2.1,,,Vis.,ZBOA,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457485.222,2.1,,,Vis.,MANH,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457485.222,2.1,,,Vis.,PYAB,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457485.294,2.36,,,TG,SMAI,,Pi Per,HD 19981,15107ELA,,0,1.860,Z,4.68,7.05,2457485.290,BET PER,AAVSO,STD,,,,
2457486.229,2.1,,,Vis.,MANH,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457486.229,2.1,,,Vis.,VANA,U,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457486.229,2.1,,,Vis.,ZBOA,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457486.229,2.1,,,Vis.,PYAB,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457486.229,2.1,,,Vis.,GELB,U,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457487.229,2.1,,,Vis.,PYAB,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457487.229,2.1,,,Vis.,GELB,U,2.0,,AAVSO,,,,Z,,,,bet Per,AAVSO,STD,,,,
2457487.229,2.1,,,Vis.,MANH,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457487.229,2.1,,,Vis.,ZBOA,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457488.229,2.1,,,Vis.,MANH,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457488.229,2.1,,,Vis.,VANA,U,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457488.229,2.1,,,Vis.,PYAB,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457488.229,2.1,,,Vis.,GELB,U,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457488.229,2.1,,,Vis.,ZBOA,U,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457489.328,3.2,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457489.52778,2.10,,,Vis.,TDG,,18,30,14839BCL,OTHER COMP 22 (GAMMA AND),,,Z,,,,BET PER,AAVSO,STD,,,,
2457492.51875,2.10,,,Vis.,TDG,,18,30,14839BCL,OTHER COMP 22 (GAMMA AND),,,Z,,,,BET PER,AAVSO,STD,,,,
2457493.345,1.8,,,Vis.,SUS,,NA,,NA,,,,Z,,,,BET PER,BAV,STD,,,,
2457495.243,2.1,,,Vis.,GELB,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457495.243,2.1,,,Vis.,MANH,B,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457495.243,2.1,,,Vis.,VANA,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457495.243,2.1,,,Vis.,PYAB,B,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457495.243,2.1,,,Vis.,ZBOA,B,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457495.315,2.20,,,TG,SMAI,,Pi Per,HD 19981,15107ELA,,0,2.477,Z,4.68,7.05,2457495.310,BET PER,AAVSO,STD,,,,
2457497.270,2.1,,,Vis.,PYAB,B,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457497.270,2.1,,,Vis.,VANA,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457497.270,2.1,,,Vis.,MANH,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457497.270,2.1,,,Vis.,ZBOA,B,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457499.3201,2.1,,,Vis.,KBA,K,18,22,A,BRIGHT STAR CATALOG,,,Z,,,,BET PER,AAVSO,STD,,,,
2457502.263,2.1,,,Vis.,GELB,BU,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457502.263,2.1,,,Vis.,PYAB,BU,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457502.263,2.1,,,Vis.,VRUB,BU,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457502.263,2.1,,,Vis.,VANA,BU,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457502.263,2.1,,,Vis.,MANH,BU,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457505.243,2.1,,,Vis.,MANH,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457505.243,2.1,,,Vis.,PYAB,,2.0,,THE AAVSO VARIABLE,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457505.243,2.1,,,Vis.,VRUB,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457505.243,2.1,,,Vis.,VANA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457510.256,2.3,,,Vis.,MANH,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457510.256,2.3,,,Vis.,VANA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457510.256,2.3,,,Vis.,MEGA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457566.472,2.1,,,Vis.,MQA,BU,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457571.493,2.1,,,Vis.,MQA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457576.444,2.1,,,Vis.,MQA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457578.444,2.1,,,Vis.,MQA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457580.64583,2.1,,,Vis.,PMB,,1.8,2.1,10 Star Tutorial,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457588.90625,2.3,,,Vis.,MCOA,,23,21,10 Star Tutorial,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457593.92153,2.1,,,Vis.,MCOA,,21,23,10 Star Tutorial,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457603.8194,2.1,,,Vis.,FDU,,1.8,2.1,123001,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457608.34375,2.52,,,Vis.,KMIC,,1.8,3.0,X15399AFB,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457608.4007,2.1,,,Vis.,JDAA,,1.8,3.0,Sky Charts (CdC),,,,Z,,,,BET PER,AAVSO,STD,,,,
2457612.34722,2.28,,,Vis.,KMIC,,1.8,3.0,X15399AFB,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457612.95833,2.5,,,Vis.,ASA,,21,34,290,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457613.48611,2.1,,,Vis.,TCGA,U,18,30,aavso beginners,,,,Z,,,,bet Per,BAA-VSS,STD,,,,
2457615.47569,3.0,,,Vis.,KMIC,,1.8,3.8,X15399AFB,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457615.513,3.3,,,Vis.,MQA,,3.0,3.8,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457616.493,2.1,,,Vis.,MQA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457617.42431,2.1,,,Vis.,TCGA,BU,18,30,aavso beginners,,,,Z,,,,bet Per,BAA-VSS,STD,,,,
2457620.37500,2.28,,,Vis.,KMIC,B,1.8,3.0,X15399AFB,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457622.41944,2.1,,,Vis.,TCGA,BU,18,21,aavso beginners,,,,Z,,,,BET PER,BAA-VSS,STD,,,,
2457623.40764,2.2,,,Vis.,TCGA,U,18,21,aavso beginners,,,,Z,,,,BET PER,BAA-VSS,STD,,,,
2457623.95833,2.40,,,Vis.,ASA,,210,320,290,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457625.31944,2.28,,,Vis.,KMIC,,1.8,3.0,X15399AFB,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457627.00069,3.20,,,Vis.,ASA,,290,320,290,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457628.00069,2.20,,,Vis.,ASA,,210,290,290,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457629.256,2.1,,,Vis.,MANH,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457629.256,2.1,,,Vis.,KYUA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457629.513,2.1,,,Vis.,MQA,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457630.270,2.1,,,Vis.,LCHD,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457630.270,2.1,,,Vis.,VANA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457630.270,2.1,,,Vis.,KYUA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457630.513,2.1,,,Vis.,MQA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457632.31597,2.4,,,Vis.,KMIC,,1.8,3.0,X15399AFB,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457632.513,2.1,,,Vis.,MQA,,2.0,,AAVSO,,,,Z,,,,bet Per,AAVSO,STD,,,,
2457632.68264,3.4,,,Vis.,MDP,,30,38,123001,,,,Z,,,,BET PER,RASC,STD,,,,
2457632.68542,3.35,,,Vis.,MDP,,38,30,123001,,,,Z,,,,BET PER,RASC,STD,,,,
2457632.69167,3.3,,,Vis.,MDP,,30,38,123001,,,,Z,,,,BET PER,RASC,STD,,,,
2457632.69583,3.3,,,Vis.,MDP,,38,30,123001,,,,Z,,,,BET PER,RASC,STD,,,,
2457632.70069,3.25,,,Vis.,MDP,,30,38,123001,,,,Z,,,,BET PER,RASC,STD,,,,
2457632.70625,3.25,,,Vis.,MDP,,30,38,123001,,,,Z,,,,BET PER,RASC,STD,,,,
2457632.71736,3.25,,,Vis.,MDP,,30,38,123001,,,,Z,,,,BET PER,RASC,STD,,,,
2457632.76111,2.95,,,Vis.,MDP,,30,29,123001,,,,Z,,,,BET PER,RASC,STD,,,,
2457633.229,2.1,,,Vis.,LCHD,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457634.284,2.1,,,Vis.,LCHD,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457634.513,2.1,,,Vis.,MQA,U,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457635.548,2.8,,,Vis.,MQA,U,3.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457635.98611,2.20,,,Vis.,ASA,,210,290,290,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457636.534,2.1,,,Vis.,MQA,U,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457636.55694,2.4,,,Vis.,OCX,,23,29,10 Star,also comp star 21,,,Z,,,,bet Per,,STD,,,,
2457636.71181,2.2,,,Vis.,BGAF,,18,21,10 star tutorial,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457637.236,2.1,,,Vis.,VANA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457637.236,2.1,,,Vis.,KYUA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457637.236,2.1,,,Vis.,LCHD,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457637.43472,2.1,,,Vis.,TCGA,,18,21,aavso beginners,,,,Z,,,,bet Per,BAA-VSS,STD,,,,
2457639.222,2.1,,,Vis.,KYUA,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457639.222,2.1,,,Vis.,VANA,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457639.222,2.1,,,Vis.,LCHD,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457639.39722,2.1,,,Vis.,BBI,,18,21,aavso naked eye,,,,Z,,,,BET PER,VVS,STD,,,,
2457639.513,2.1,,,Vis.,MQA,,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457639.96181,2.20,,,Vis.,ASA,,210,290,290,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457640.215,2.1,,,Vis.,LCHD,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
2457640.215,2.1,,,Vis.,VANA,B,2.0,,AAVSO,,,,Z,,,,BET PER,AAVSO,STD,,,,
